,Unnamed: 0,date,gain,day
0,0,2019-02-11,1070.0,Mon
1,1,2020-01-01,855.0,Wed
2,2,2020-01-02,-542.5,Thu
3,3,2020-01-03,-857.5,Fri
4,4,2020-01-06,2192.5,Mon
5,5,2020-01-07,307.5,Tue
6,6,2020-01-08,552.5,Wed
7,7,2020-01-09,687.5,Thu
8,8,2020-01-10,-797.5,Fri
9,9,2020-01-13,-130.0,Mon
10,10,2020-01-14,807.5,Tue
11,11,2020-01-15,-157.5,Wed
12,12,2020-01-16,1815.0,Thu
13,13,2020-01-17,570.0,Fri
14,14,2020-01-20,202.5,Mon
15,15,2020-01-21,642.5,Tue
16,16,2020-01-22,805.0,Wed
17,17,2020-01-23,1087.5,Thu
18,18,2020-01-24,377.5,Fri
19,19,2020-01-27,467.5,Mon
20,20,2020-01-28,877.5,Tue
21,21,2020-01-29,1130.0,Wed
22,22,2020-01-30,1402.5,Thu
23,23,2020-01-31,1772.5,Fri
24,24,2020-02-01,8795.0,Sat
25,25,2020-02-03,3217.5,Mon
26,26,2020-02-04,4440.0,Tue
27,27,2020-02-05,1632.5,Wed
28,28,2020-02-06,2327.5,Thu
29,29,2020-02-07,882.5,Fri
30,30,2020-02-10,-790.0,Mon
31,31,2020-02-11,552.5,Tue
32,32,2020-02-12,515.0,Wed
33,33,2020-02-13,382.5,Thu
34,34,2020-02-14,1200.0,Fri
35,35,2020-02-17,202.5,Mon
36,36,2020-02-18,-555.0,Tue
37,37,2020-02-19,-1265.0,Wed
38,38,2020-02-20,72.5,Thu
39,39,2020-02-24,-1000.0,Mon
40,40,2020-02-25,875.0,Tue
41,41,2020-02-26,-1910.0,Wed
42,42,2020-02-27,392.5,Thu
43,43,2020-02-28,25.0,Fri
44,44,2020-03-02,2642.5,Mon
45,45,2020-03-03,1935.0,Tue
46,46,2020-03-04,817.5,Wed
47,47,2020-03-05,1305.0,Thu
48,48,2020-03-06,4080.0,Fri
49,49,2020-03-09,14160.0,Mon
50,50,2020-03-11,8260.0,Wed
51,51,2020-06-03,715.0,Wed
52,52,2020-06-05,2462.5,Fri
53,53,2020-06-08,2505.0,Mon
54,54,2020-06-09,525.0,Tue
55,55,2020-06-10,1165.0,Wed
56,56,2020-06-19,3870.0,Fri
57,57,2020-06-22,2792.5,Mon
58,58,2020-06-23,5072.5,Tue
59,59,2020-06-24,-6860.0,Wed
60,60,2020-06-25,7212.5,Thu
61,61,2020-06-26,1720.0,Fri
62,62,2020-06-29,2515.0,Mon
63,63,2020-06-30,-162.5,Tue
64,64,2020-07-01,4080.0,Wed
65,65,2020-07-02,4177.5,Thu
66,66,2020-07-03,1527.5,Fri
67,67,2020-07-06,-77.5,Mon
68,68,2020-07-07,517.5,Tue
69,69,2020-07-08,4730.0,Wed
70,70,2020-07-09,3100.0,Thu
71,71,2020-07-10,692.5,Fri
72,72,2020-07-13,1542.5,Mon
73,73,2020-07-14,920.0,Tue
74,74,2020-07-15,-1325.0,Wed
75,75,2020-07-16,3515.0,Thu
76,76,2020-07-17,1650.0,Fri
77,77,2020-07-20,995.0,Mon
78,78,2020-07-21,1195.0,Tue
79,79,2020-07-22,1570.0,Wed
80,80,2020-07-23,2295.0,Thu
81,81,2020-07-24,1092.5,Fri
82,82,2020-07-27,1215.0,Mon
83,83,2020-07-28,1527.5,Tue
84,84,2020-07-29,5080.0,Wed
85,85,2020-07-30,2047.5,Thu
86,86,2020-07-31,352.5,Fri
87,87,2020-08-03,1785.0,Mon
88,88,2020-08-04,5840.0,Tue
89,89,2020-08-05,3290.0,Wed
90,90,2020-08-06,857.5,Thu
91,91,2020-08-07,2567.5,Fri
92,92,2020-08-10,430.0,Mon
93,93,2020-08-11,555.0,Tue
94,94,2020-08-12,1117.5,Wed
95,95,2020-08-13,3957.5,Thu
96,96,2020-08-14,1505.0,Fri
97,97,2020-08-17,802.5,Mon
98,98,2020-08-18,1015.0,Tue
99,99,2020-08-19,932.5,Wed
100,100,2020-08-20,2082.5,Thu
101,101,2020-08-21,1080.0,Fri
102,102,2020-08-24,-45.0,Mon
103,103,2020-08-25,602.5,Tue
104,104,2020-08-26,362.5,Wed
105,105,2020-08-27,675.0,Thu
106,106,2020-08-28,1197.5,Fri
107,107,2020-08-31,5470.0,Mon
108,108,2020-09-01,5445.0,Tue
109,109,2020-09-02,310.0,Wed
110,110,2020-09-03,1867.5,Thu
111,111,2020-09-04,695.0,Fri
112,112,2020-09-07,-185.0,Mon
113,113,2020-09-08,-1017.5,Tue
114,114,2020-09-09,35.0,Wed
115,115,2020-09-10,972.5,Thu
116,116,2020-09-11,1190.0,Fri
117,117,2020-09-14,1475.0,Mon
118,118,2020-09-15,1125.0,Tue
119,119,2020-09-16,1400.0,Wed
120,120,2020-09-17,1182.5,Thu
121,121,2020-09-18,1602.5,Fri
122,122,2020-09-21,7510.0,Mon
123,123,2020-09-22,9535.0,Tue
124,124,2020-09-23,247.5,Wed
125,125,2020-09-24,-9945.0,Thu
126,126,2020-09-25,5245.0,Fri
