,level_0,index,date,time,symbol,open,high,low,close,oi,volume,strikePrice,entryPriceCE,exitPriceCE,gainCE,exitTimeCE,entryPricePE,exitPricePE,gainPE,exitTimePE
0,15,492,2019-02-11,09:30:00,NIFTY,10880.4,10880.4,10874.05,10877.25,nan,0,10900,-53,59.55,6.549999999999997,15:29:00,-75.4,47.45,-27.950000000000003,15:29:00
0,15,499,2020-01-01,09:30:00,NIFTY,12221.65,12221.9,12218.6,12219.05,nan,0,12200,-41.6,24.25,-17.35,15:29:00,-26.35,26.6,0.25,15:29:00
0,15,483,2020-01-02,09:30:00,NIFTY,12224.25,12228.5,12223.35,12228.45,nan,0,12200,-33.55,82.45,48.900000000000006,15:29:00,-11.65,0.05,-11.6,15:29:00
0,15,566,2020-01-03,09:30:00,NIFTY,12251.25,12251.25,12242.25,12242.5,nan,0,12300,-35.8,29.75,-6.049999999999997,15:29:00,-93.65,122.85,29.19999999999999,14:50:00
1,335,10863,2020-01-03,14:50:00,NIFTY,12205.0,12205.0,12195.15,12197.2,nan,0,12200,-63.3,76.0,12.700000000000003,15:29:00,-61.3,50.8,-10.5,15:29:00
0,15,638,2020-01-06,09:30:00,NIFTY,12096.9,12096.9,12073.85,12074.85,nan,0,12100,-69.4,28.0,-41.400000000000006,15:29:00,-76.3,122.1,45.8,14:03:00
1,288,10950,2020-01-06,14:03:00,NIFTY,11999.6,11999.6,11995.85,11997.6,nan,0,12000,-74.25,71.0,-3.25,15:29:00,-65.1,63.0,-2.0999999999999943,15:29:00
0,15,649,2020-01-07,09:30:00,NIFTY,12125.05,12129.35,12125.05,12128.25,nan,0,12100,-65,36.85,-28.15,15:29:00,-39.35,67.0,27.65,15:29:00
0,15,726,2020-01-08,09:30:00,NIFTY,11985.65,11992.0,11983.8,11987.45,nan,0,12000,-47.45,60.3,12.849999999999994,15:29:00,-65.9,42.0,-23.900000000000006,15:29:00
0,15,634,2020-01-09,09:30:00,NIFTY,12161.2,12161.55,12154.7,12154.7,nan,0,12200,-9.4,15.7,6.299999999999999,15:29:00,-52.85,0.05,-52.800000000000004,15:29:00
0,15,679,2020-01-10,09:30:00,NIFTY,12247.95,12247.95,12244.2,12247.15,nan,0,12200,-101.75,141.8,40.05000000000001,11:39:00,-54.3,49.6,-4.699999999999996,15:29:00
1,144,5779,2020-01-10,11:39:00,NIFTY,12295.4,12301.1,12295.0,12300.15,nan,0,12300,-75.2,51.8,-23.400000000000006,15:29:00,-73.85,92.65,18.80000000000001,15:29:00
0,15,679,2020-01-13,09:30:00,NIFTY,12325.0,12330.95,12324.8,12330.4,nan,0,12300,-82.2,75.25,-6.950000000000003,15:29:00,-54.15,46.7,-7.449999999999996,15:29:00
0,15,607,2020-01-14,09:30:00,NIFTY,12326.35,12326.35,12319.1,12320.0,nan,0,12300,-58.9,83.7,24.800000000000004,15:29:00,-48.05,23.45,-24.599999999999998,15:29:00
0,15,629,2020-01-15,09:30:00,NIFTY,12309.15,12309.15,12298.75,12299.8,nan,0,12300,-42.15,61.0,18.85,15:29:00,-35.95,15.25,-20.700000000000003,15:29:00
0,15,589,2020-01-16,09:30:00,NIFTY,12364.9,12368.85,12364.9,12365.25,nan,0,12400,-6.75,0.05,-6.7,15:29:00,-44.0,44.65,0.6499999999999986,15:29:00
0,15,585,2020-01-17,09:30:00,NIFTY,12348.8,12348.8,12343.55,12344.15,nan,0,12300,-90.8,94.75,3.950000000000003,15:29:00,-49.6,38.0,-11.600000000000001,15:29:00
0,15,604,2020-01-20,09:30:00,NIFTY,12372.35,12376.35,12369.15,12374.25,nan,0,12400,-40.9,13.2,-27.7,15:29:00,-78.75,119.55,40.8,10:31:00
1,76,2913,2020-01-20,10:31:00,NIFTY,12305.35,12305.5,12297.15,12298.6,nan,0,12300,-60.35,36.15,-24.200000000000003,15:29:00,-55.3,85.85,30.549999999999997,15:29:00
0,15,629,2020-01-21,09:30:00,NIFTY,12209.1,12216.9,12208.35,12214.9,nan,0,12200,-54.4,37.55,-16.85,15:29:00,-53.0,57.0,4.0,15:29:00
0,15,579,2020-01-22,09:30:00,NIFTY,12200.85,12206.75,12197.95,12204.9,nan,0,12200,-44.35,10.85,-33.5,15:29:00,-39.7,106.7,67.0,14:09:00
