,date
0,2019-02-11
1,2020-01-01
2,2020-01-02
3,2020-01-03
4,2020-01-06
5,2020-01-07
6,2020-01-08
7,2020-01-09
8,2020-01-10
9,2020-01-13
10,2020-01-14
11,2020-01-15
12,2020-01-16
13,2020-01-17
14,2020-01-20
15,2020-01-21
16,2020-01-22
17,2020-01-23
18,2020-01-24
19,2020-01-27
20,2020-01-28
21,2020-01-29
22,2020-01-30
23,2020-01-31
24,2020-02-01
25,2020-02-03
26,2020-02-04
27,2020-02-05
28,2020-02-06
29,2020-02-07
30,2020-02-10
31,2020-02-11
32,2020-02-12
33,2020-02-13
34,2020-02-14
35,2020-02-17
36,2020-02-18
37,2020-02-19
38,2020-02-20
39,2020-02-24
40,2020-02-25
41,2020-02-26
42,2020-02-27
43,2020-02-28
44,2020-03-02
45,2020-03-03
46,2020-03-04
47,2020-03-05
48,2020-03-06
49,2020-03-09
50,2020-03-11
51,2020-03-12
52,2020-03-13
53,2020-03-16
54,2020-03-17
55,2020-03-18
56,2020-03-19
57,2020-03-20
58,2020-03-23
59,2020-03-24
60,2020-03-25
61,2020-03-26
62,2020-03-27
63,2020-03-30
64,2020-03-31
65,2020-04-01
66,2020-04-03
67,2020-04-07
68,2020-04-08
69,2020-04-09
70,2020-04-13
71,2020-04-15
72,2020-04-16
73,2020-04-17
74,2020-04-20
75,2020-04-21
76,2020-04-22
77,2020-04-23
78,2020-04-24
79,2020-04-27
80,2020-04-28
81,2020-04-29
82,2020-04-30
83,2020-05-04
84,2020-05-05
85,2020-05-06
86,2020-05-07
87,2020-05-08
88,2020-05-11
89,2020-05-12
90,2020-05-13
91,2020-05-14
92,2020-05-15
93,2020-05-18
94,2020-05-19
95,2020-05-20
96,2020-05-21
97,2020-05-22
98,2020-05-26
99,2020-05-27
100,2020-05-28
101,2020-05-29
102,2020-06-01
103,2020-06-02
104,2020-06-03
105,2020-06-04
106,2020-06-05
107,2020-06-08
108,2020-06-09
109,2020-06-10
110,2020-06-11
111,2020-06-12
112,2020-06-15
113,2020-06-16
114,2020-06-17
115,2020-06-18
116,2020-06-19
117,2020-06-22
118,2020-06-23
119,2020-06-24
120,2020-06-25
121,2020-06-26
122,2020-06-29
123,2020-06-30
124,2020-07-01
125,2020-07-02
126,2020-07-03
127,2020-07-06
128,2020-07-07
129,2020-07-08
130,2020-07-09
131,2020-07-10
132,2020-07-13
133,2020-07-14
134,2020-07-15
135,2020-07-16
136,2020-07-17
137,2020-07-20
138,2020-07-21
139,2020-07-22
140,2020-07-23
141,2020-07-24
142,2020-07-27
143,2020-07-28
144,2020-07-29
145,2020-07-30
146,2020-07-31
147,2020-08-03
148,2020-08-04
149,2020-08-05
150,2020-08-06
151,2020-08-07
152,2020-08-10
153,2020-08-11
154,2020-08-12
155,2020-08-13
156,2020-08-14
157,2020-08-17
158,2020-08-18
159,2020-08-19
160,2020-08-20
161,2020-08-21
162,2020-08-24
163,2020-08-25
164,2020-08-26
165,2020-08-27
166,2020-08-28
167,2020-08-31
168,2020-09-01
169,2020-09-02
170,2020-09-03
171,2020-09-04
172,2020-09-07
173,2020-09-08
174,2020-09-09
175,2020-09-10
176,2020-09-11
177,2020-09-14
178,2020-09-15
179,2020-09-16
180,2020-09-17
181,2020-09-18
182,2020-09-21
183,2020-09-22
